Work Item Type,Title,Description,Acceptance Criteria
Epic,LEAMS Finance Reporting for Asset Status & Location Changes,"Finance requires timely notification of asset status and location changes recorded in LEAMS so they can prepare documentation, approvals, and assess financial statement impacts. Finance currently does not have direct access to LEAMS.",""""""
Feature,Automated periodic reporting,"Generate and distribute a periodic report of LEAMS asset status and location changes to Finance (email and/or shared drive) without requiring LEAMS access.",""""""
User Story,Receive periodic status change report,"As a Finance user, I want to receive a periodic report of asset status changes so that I can prepare documentation and approvals on time.","Given an asset status changes to Scrap, Obsolescence, or Not in use; When the reporting job runs; Then the report includes the asset ID, previous status, new status, and timestamp."
User Story,Receive periodic location change report,"As a Finance user, I want to receive a periodic report of asset location changes so that I can validate cost center and entity assignments.","Given an asset’s cost center or entity location changes; When the reporting job runs; Then the report includes previous and new values, whether the change is temporary or permanent, and timestamp."
User Story,Automate report distribution,"As a LEAMS admin, I want an automated process to generate and distribute the report so that changes are consistently communicated without manual effort.","Given the reporting job completes successfully; When Finance checks the configured delivery channel(s); Then the report is available without requiring LEAMS access."
Task,Define reporting cadence,"Confirm the preferred reporting cadence (daily/weekly/monthly) with Finance.","Cadence is documented and approved by Finance."
Task,Define delivery channel(s) and recipients,"Confirm delivery method (email/shared drive/both) and recipient list for Finance.","Delivery method and recipients are documented and validated."
Task,Validate required report fields,"Confirm required data fields beyond the minimum set (asset ID, description, status/location changes, timestamps, change actor).","Field list is documented and aligned with Finance requirements."
Risk,Missing move type indicator,"Risk: LEAMS may not capture temporary vs permanent moves. Mitigation: add/validate a field to capture move type.",""""""
Risk,Data quality issues in LEAMS,"Risk: inaccurate or incomplete data in LEAMS. Mitigation: add validation/audit checks in the reporting process.",""""""
Question,Need historical backfill?,"Is a backfill of historical changes required for an initial report?",""""""
Question,Include system integration changes?,"Should the report include changes made by system integrations as well as users?",""""""
Question,Additional statuses?,"Are there additional statuses or change types Finance wants to track beyond Scrap, Obsolescence, and Not in use?",""""""
